address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url,zestimate,zRange,builtIn,builtBy,comName,parking
address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url,zestimate,zRange,builtIn,builtBy,comName,parking
4960 E Tulare Ave,FRESNO,CA,93727,260000,NA,NA,NA,2,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/4960-E-Tulare-Ave-Fresno-CA-93727/18760672_zpid/,NA,NA,NA,NA,NA,NA
811 S Mcarthur Ave # PGGZSY,Fresno,CA,93727,327900,2069.0,3.0,2.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2093554992_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/","$297,446","$271,000-$342,000", 2018, Summit Homebuilders, Hamilton Estates, 2 spaces
6880 E Harvey Ave,Fresno,CA,93727,663000,3888.0,6.0,4.0,3,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/6880-E-Harvey-Ave-Fresno-CA-93727/2090788064_zpid/,NA,NA,NA,NA,NA,NA
5235 E Townsend Ave,Fresno,CA,93727,301900,2243.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5235-E-Townsend-Ave-Fresno-CA-93727/18767983_zpid/,"$299,936","$285,000-$315,000",1978,NA,Single Family,Attached Garage
6687 E Montecito Ave,Fresno,CA,93727,265000,1525.0,3.0,2.0,1,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/6687-E-Montecito-Ave-Fresno-CA-93727/79543750_zpid/,"$262,359","$249,000-$275,000",2009,NA,Single Family,Attached Garage
6208 E Lyell Ave,Fresno,CA,93727,250000,1808.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/6208-E-Lyell-Ave-Fresno-CA-93727/18659497_zpid/,"$253,020","$235,000-$266,000",1957,NA,Single Family,Attached Garage
6967 E Erin Ave,Fresno,CA,93727,270990,2450.0,5.0,3.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2091970862_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",NA,NA,NA,NA,NA,NA
1034 S Clover Ave,Fresno,CA,93727,270990,2175.0,4.0,2.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2090901076_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",NA,NA,NA,NA,NA,NA
6962 E Geary St,Fresno,CA,93727,264990,1492.0,3.0,2.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2091970859_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/","$253,432","$241,000-$286,000", 2018, Centex Homes, Ivywood, 2 spaces
1196 S Clover Ave,Fresno,CA,93727,274990,1492.0,3.0,2.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2091673491_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/","$290,366","$250,000-$325,000", 2018, Centex Homes, Ivywood, 2 spaces
317 S Willow Ave,Fresno,CA,93727,125000,1539.0,4.0,2.0,9,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/317-S-Willow-Ave-Fresno-CA-93727/18760320_zpid/,NA,NA,NA,NA,NA,NA
6793 E Christine Ave,Fresno,CA,93727,270990,2063.0,4.0,2.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2094372479_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/","$266,900","$254,000-$299,000", 2018, Centex Homes, Ivywood, 2 spaces
4914 E Platt Ave,Fresno,CA,93727,169500,1016.0,3.0,1.5,6,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4914-E-Platt-Ave-Fresno-CA-93727/18760718_zpid/,"$166,478","$155,000-$175,000",1973,NA,Single Family,Attached Garage
6535 E Butler Ave,Fresno,CA,93727,236000,1694.0,3.0,2.0,9,Auction,http://www.zillow.com/homes/for_sale//homedetails/6535-E-Butler-Ave-Fresno-CA-93727/95483595_zpid/,"$264,589","$251,000-$278,000",2014,NA,Single Family,2 spaces
1347 S Filbert Ave # 93Z9EL,Fresno,CA,93727,269750,1725.0,4.0,2.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2092190070_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/","$266,379","$253,000-$298,000", 2018, Lennar, Daffodil Hill - California Series, 2 spaces
5644 E Byrd Ave,Fresno,CA,93727,295000,2204.0,4.0,2.5,7,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5644-E-Byrd-Ave-Fresno-CA-93727/18662541_zpid/,"$312,427","$297,000-$328,000",1970,NA,Single Family,Attached Garage
5889 E Ramona Ave,Fresno,CA,93727,260000,1662.0,5.0,2.0,5,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5889-E-Ramona-Ave-Fresno-CA-93727/18777940_zpid/,NA,NA,NA,NA,NA,NA
5511 E Erin Ave,Fresno,CA,93727,325000,1736.0,3.0,2.0,5,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5511-E-Erin-Ave-Fresno-CA-93727/89469961_zpid/,"$281,774","$268,000-$296,000",2008,NA,Single Family,6 spaces
5155 E Dwight Way,Fresno,CA,93727,337900,2122.0,4.0,3.0,8,Foreclosure,http://www.zillow.com/homes/for_sale//homedetails/5155-E-Dwight-Way-Fresno-CA-93727/18768319_zpid/,"$267,326","$249,000-$281,000",1977,NA,Single Family,Attached Garage
5273 E Geary St,Fresno,CA,93727,264990,1737.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5273-E-Geary-St-Fresno-CA-93727/79537057_zpid/,"$247,592","$235,000-$260,000",2007,NA,Single Family,Attached Garage
6742 E Christine Ave,Fresno,CA,93727,284900,1728.0,4.0,2.0,9,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/6742-E-Christine-Ave-Fresno-CA-93727/2090876442_zpid/,"$268,515","$255,000-$282,000",2016,NA,Single Family,Attached Garage
5329 E Pitt Ave,Fresno,CA,93727,239900,1522.0,3.0,2.0,10,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5329-E-Pitt-Ave-Fresno-CA-93727/95457504_zpid/,NA,NA,NA,NA,NA,NA
465 S Duke Ave,Fresno,CA,93727,265000,1691.0,3.0,2.0,7,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/465-S-Duke-Ave-Fresno-CA-93727/82855355_zpid/,NA,NA,2008,NA,Single Family,2 spaces
6137 E Clinton Ave,Fresno,CA,93727,450000,1796.0,4.0,2.0,10,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/6137-E-Clinton-Ave-Fresno-CA-93727/18652466_zpid/,NA,NA,1962,NA,Single Family,5 spaces
6113 E Illinois Ave,Fresno,CA,93727,259900,1652.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/6113-E-Illinois-Ave-Fresno-CA-93727/18660491_zpid/,"$256,835","$244,000-$270,000",1988,NA,Single Family,Attached Garage
332 S Minnewawa Ave,Fresno,CA,93727,399900,754.0,2.0,1.0,7,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/332-S-Minnewawa-Ave-Fresno-CA-93727/18760416_zpid/,NA,NA,NA,NA,NA,NA
1347 S Filbert Ave # ELWPYB,Fresno,CA,93727,302050,2171.0,3.0,3.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2091365341_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",NA,NA,NA,NA,NA,NA
2691 N Mcarthur Ave # MU8JAU,Fresno,CA,93727,413450,2806.0,5.0,4.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2091762427_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/","$429,540","$352,000-$472,000", 2018, Granville Homes, Belterra, 3 spaces
811 S Mcarthur Ave # GTVNS3,Fresno,CA,93727,314900,1881.0,4.0,2.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2093554994_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/","$280,988","$256,000-$312,000", 2018, Summit Homebuilders, Hamilton Estates, 3 spaces
